"An error occurred while clearing the external full page cache.","清除外部全页的快取时发生错误。"
"Cookie Lifetime (seconds)","Cookie 周期 (秒)"
"Enable External Cache","启用外部快取"
"External Cache Control","外部快取控制"
"External Full Page Cache Settings","外部全页快取设定"
"External full page cache.","外部全页快取。"
"Failed to load external cache control","读取外部快取控制产生错误"
"Flush External Page Cache","重新整理外部页面快取"
"If empty, default value will be used.","如果没有数值，预设值将被使用。"
"The external full page cache has been cleaned.","外部全页快取已被清空。"
"Zend Full Page Cache","Zend 外部页面快取"
