"ALL","全部"
"ANY","任意"
"Add","新增"
"Apply","套用"
"Conditions Combination","条件组合"
"Customer Groups must be specified.","必须在指定的客户群体。"
"End Date must be greater than Start Date.","结束日期必须大于起始日期。"
"FALSE","否"
"If %s of these conditions are %s:","如果 %s 个这些条件为%s："
"Invalid discount amount.","无效的折扣额。"
"Open Chooser","打开选择器"
"Perform following actions","执行下列操作"
"Please choose a condition to add...","请选择要新增的条件..."
"Please choose an action to add...","请选择一个要新增的操作..."
"Remove","删除"
"TRUE","真"
"Websites must be specified.","必须在指定的网站。"
"by","由"
"contains","包含"
"does not contain","不包含"
"equals or greater than","等于或大于"
"equals or less than","等于或小于"
"greater than","大于"
"is","是"
"is not","非"
"is not one of","不属于"
"is one of","属于"
"less than","小于"
"to","至"
